Module;Item;ItemType;Property;en-US;fr;nl;ko-KR;it;es;zh-CN;pt;de;en
resourcestrings;UnitLangResources_StrFLArtist;;;Artist;Artiste;Artiest;;Artista;Artista;艺术家;Artista;Künstler;
resourcestrings;UnitLangResources_StrFLCity;;;City;Ville;Plaats;;Città;Ciudad;城市;Cidade;Platz;
resourcestrings;UnitLangResources_StrFLCountry;;;Country;Pays;Land;;Paese;País;国家;País;Land;
resourcestrings;UnitLangResources_StrFLDateTime;;;DateTime;DateTime;"Datum en tijd";;"Data e ora";FechaHora;日期时间;"Data e hora";"Datum Zeit";
resourcestrings;UnitLangResources_StrFLEvent;;;Event;Événement;Gebeurtenis;;Evento;Evento;事件;Evento;Ereignis;
resourcestrings;UnitLangResources_StrFLLensModel;;;LensModel;"Modèle de lentille";LensModel;;"Modello di lente";"Modelo de lente";镜头模型;"Modelo de lente";ObjektivModell;
resourcestrings;UnitLangResources_StrFLLocation;;;Location;"Lieu de travail";Locatie;;Posizione;Ubicación;位置;Localização;Standort;
resourcestrings;UnitLangResources_StrFLModel;;;Model;Modèle;Model;;Modello;Modelo;模型;Modelo;Modell;
resourcestrings;UnitLangResources_StrFLOrientation;;;Orientation;Orientation;Oriëntatie;;Orientamento;Orientación;方向;Orientação;Orientierung;
resourcestrings;UnitLangResources_StrFLPhotoTitle;;;"Photo title";"Titre de la photo";Fototitel;;"Titolo della foto";"Título de la foto";图片标题;"Título da foto";"Foto Titel";
resourcestrings;UnitLangResources_StrFLProvince;;;Province;Province;Provincie;;Provincia;Provincia;省份;Província;Provinz;
resourcestrings;UnitLangResources_StrFLRating;;;Rating;Classement;Waardering;;Valutazione;Valoración;评级;Classificação;Bewertung;
resourcestrings;UnitLangResources_StrFLType;;;Type;Type;Type;;Tipo;Tipo;类型;"Tipo de classificação";Typ;
resourcestrings;UnitLangResources_StrFNumber;;;F-Number;"Numéro F";F-Waarde;;"Numero F";"Número F";"F 值";"Número F";F-Number;
resourcestrings;UnitLangResources_StrFocalLength;;;"Focal length";"Longueur focale";Brandpuntsafstand;;"Lunghezza focale";"Distancia focal";焦距;"Distância focal";Brennweite;
resourcestrings;UnitLangResources_StrFolderIncludingSub;;;"Folder, including subfolders, to generate thumbnails for.";"Dossier, y compris les sous-dossiers, pour lequel des vignettes doivent être générées.";"Map, inclusief submappen, waar miniaturen voor gemaakt moeten worden.";;"Cartella, comprese le sottocartelle, per cui generare le miniature.";"Carpeta, incluidas las subcarpetas, para generar miniaturas.";要为其生成缩略图的文件夹（包括子文件夹）。;"Pasta, incluindo subpastas, para gerar miniaturas.";"Ordner, einschließlich Unterordnern, für den Miniaturansichten generiert werden sollen.";
resourcestrings;UnitLangResources_StrGeneratingBackgr;;;"Generating will be done in the background.";"La génération se fera en arrière-plan.";"Genereren zal worden uitgevoerd in de achergrond.";;"La generazione avverrà in background.";"La generación se realizará en segundo plano.";生成将在后台完成。;"A geração será feita em segundo plano.";"Die Generierung erfolgt im Hintergrund.";
resourcestrings;UnitLangResources_StrGeneratingDThumbn;;;"Generating %d thumbnails for: %s";"Génération de %d vignettes pour : %s";"Genereren van %d miniaturen voor map: %s";;"Generazione di %d miniature per: %s";"Generando %d miniaturas para: %s";"正在生成 %d 个缩略图：%s";"Gerando %d miniaturas para: %s";"Generiere %d Miniaturansichten für: %s";
resourcestrings;UnitLangResources_StrIconsSubFolder;;;"Loading %d Thumbnails in subfolders of: %s";"Chargement de %d vignettes dans les sous-dossiers de : %s";"Er worden %d miniaturen geladen in submappen van: %s";;"Caricamento di %d miniature nelle sottocartelle di: %s";"Cargando %d Miniaturas en subcarpetas de: %s";"加载 %d 子文件夹中的缩略图： %s";"Carregando %d miniaturas em subpastas de: %s";"Laden von %d Thumbnails in Unterordner von: %s";
resourcestrings;UnitLangResources_StrImportingPreviewIn;;;"Importing preview into: %s";"Importation de l'aperçu dans : %s";"Importeren preview in: %s";;"Importazione dell'anteprima in: %s";"Importando vista previa en: %s";正在将预览导入到：%s;"Importando a visualização para: %s";"Vorschau wird importiert in: %s";
resourcestrings;UnitLangResources_StrImportIni;;;"Import ini file";"Importer un fichier ini";"Definitiebestand exporteren";;"importare file ini";"Importar archivo ini";"导入 ini 文件";"Importar arquivo ini";"Ini-Datei importieren";
resourcestrings;UnitLangResources_StrIncrement;;;Increment;Incrément;Later;;Incremento;Incrementando;增量;Incremento;Inkrement;
resourcestrings;UnitLangResources_StrIniDefContaining;;;"Containing settings for: %s";"Contient des paramètres pour : %s";"Bevat instellingen voor: %s";;"Contiene le impostazioni per: %s";"Contiene ajustes para: %s";"包含 %s 的设置： %s";"Contém configurações para: %s";"Enthält Einstellungen für: %s";
resourcestrings;UnitLangResources_StrIniDefNotSaved;;;"Ini file: %s file couldn't be saved!";"Fichier Ini : Le fichier %s n'a pas pu être sauvegardé !";"Ini bestand: %s bestand kon niet worden opgeslagen!";;"File Ini: Non è stato possibile salvare il file %s!";"Archivo ini: ¡No se ha podido guardar el archivo %s!";"Ini 文件： %s 文件无法保存！";"Arquivo Ini: Não foi possível salvar o arquivo %s!";"Ini-Datei: %s-Datei konnte nicht gespeichert werden!";
resourcestrings;UnitLangResources_StrIniExported;;;"Ini file: %s exported.";"Fichier Ini : %s exporté.";"Ini-bestand: %s geëxporteerd.";;"Ini file: %s exported.";"Archivo ini: %s exportado.";"Ini 文件： 已导出 %s。";"Arquivo Ini: %s exportado.";"Ini-Datei: %s exportiert.";
resourcestrings;UnitLangResources_StrIniFileNotChanged;;;"Ini file does not contain data -nothing changed.";"Le fichier Ini ne contient pas des données - rien n'a changé.";"Ini bestand bevat geen data - niets gewijzigd.";;"Il file Ini non contiene dati - non è cambiato nulla.";"El archivo Ini no contiene datos -nada ha cambiado.";"Ini 文件不包含数据 - 没有任何改变。";"O arquivo Ini não contém dados - nada foi alterado.";"Ini-Datei enthält keine Daten – es hat sich nichts geändert.";
resourcestrings;UnitLangResources_StrIniImported;;;"Ini file: %s imported.";"Fichier Ini : %s importé.";"Ini-bestand: %s geïmporteerd.";;"File Ini: %s importato.";"Archivo ini: %s importado.";"Ini 文件： 已导入 %s。";"Arquivo Ini: %s importado...";"Ini-Datei: %s importiert.";
resourcestrings;UnitLangResources_StrInvalidCharsRemoved;;;"Invalid char(s) removed in Tag: %s";"Caractère(s) invalide(s) supprimé(s) dans le Tag : %s";"Ongeldige char(s) verwijderd in Tag: %s";;"Carattere non valido nel tag: %s";"Carácter(es) no válido(s) eliminado(s) en Etiqueta: %s";"标签中删除了无效字符： %s";"Caractere(s) inválido(s) removido(s) na tag: %s";"Ungültige(s) Zeichen in Tag entfernt: %s";
resourcestrings;UnitLangResources_StrInvalidJson;;;"Invalid JSON received: %s";"JSON invalide reçu : %s";"Ongeldige JSON ontvangen: %s";;"Carattere(i) non valido(i) rimosso(i) nel tag: %s";"JSON no válido recibido: %s";"收到的 JSON 无效：%s";"JSON inválido recebido: %s";"Ungültiges JSON empfangen: %s";
resourcestrings;UnitLangResources_StrItemsSelected;;;" (%d items selected)";" (%d éléments sélectionnés)";" (%d items geselecteerd)";;"  (%d elementi selezionati)";" (%d elementos seleccionados)";" (已选择 %d 项）";" (%d itens selecionados)";" (%d Elemente ausgewählt)";
resourcestrings;UnitLangResources_StrLoadingSubFolder;;;"Loading %d sub items of: %s";"Chargement de %d sous-éléments de : %s";"Laden %d subitems van: %s";;"Loading %d sub items of: %s";"Cargando %d subelementos de: %s";"加载 %d 个子项目： %s";"Carregando %d subitens de: %s";"Laden von %d Unterpunkten von: %s";
resourcestrings;UnitLangResources_StrLocationList;;;"Location info";"Informations sur l'emplacement";"Locatie info";;"Informazioni sulla posizione";"Información de ubicación";位置信息;"Informações de localização";Standortinformationen;
resourcestrings;UnitLangResources_StrMakeSureThatYouO;;;"Make sure that you only check 'Thumbnails' in the next dialog.";"Veillez à ne cocher que la case ""Vignettes"" dans la boîte de dialogue suivante.";"Ben er zeker van alleen 'Miniaturen' aan te vinken in de volgende dialoog.";;"Assicuratevi di selezionare solo 'Miniature' nella prossima finestra di dialogo.";"Asegúrese de marcar sólo 'Miniaturas' en el siguiente diálogo.";确保您只在下一个对话框中选中“缩略图”。;"Certifique-se de marcar apenas ""Miniaturas"" na próxima caixa de diálogo.";"Stellen Sie sicher, dass Sie im nächsten Dialog nur 'Miniaturansichten' aktivieren.";
resourcestrings;UnitLangResources_StrMinimizedToTray;;;"Minimized to tray.";"Réduit à la barre d'état.";"Verplaatst naar systeemvak.";;"Ridotto a icona nella tray.";"Minimizado a la bandeja.";最小化到托盘。;"Minimizado na bandeja.";"Minimiert in die Taskleiste.";
resourcestrings;UnitLangResources_StrMISSING;;;MISSING!;"MANQUANT !";ONTBREKEND!;;MANCANTE!;FALTA;丢失！;FALTANDO!;FEHLT!;
resourcestrings;UnitLangResources_StrMultipleDirsInContext;;;"Context menu for files from multiple directories not supported";"Context menu for files from multiple directories not supported";"Contextmenu voor bestanden uit meerdere mappen niet ondersteund";;"Il menu contestuale per i file provenienti da più directory non è supportato";"No se admite el menú contextual para archivos de varios directorios";"元素类型 状态 英文 中文（简体）";"Não há suporte para o menu de contexto para arquivos de vários diretórios";"Kontextmenü für Dateien aus mehreren Verzeichnissen nicht unterstützt";
resourcestrings;UnitLangResources_StrNewName;;;"New Name";"Nouvelle dénomination";"Nieuwe naam";;"Nuovo nome";"Nuevo nombre";新名称;"Novo nome";"Neuer Name";
resourcestrings;UnitLangResources_StrNo;;;No;Non;Nee;;No;No;否;Não;Nein;
resourcestrings;UnitLangResources_StrNOAst;;;*NO*;*NON*;*NEE*;;*NO*;*NO;*否*;*NÃO;*NEIN*;
resourcestrings;UnitLangResources_StrNoCustomTags;;;"No custom tags defined";"Pas de etiquettes personnalisées définies";"Geen maatwerk gedefinieerd";;"Nessun tag personalizzato definito";"No se han definido etiquetas de vista usario";没有定义自定义标签;"Não há tags personalizadas definidas";"Keine benutzerdefinierten Tags definiert";
resourcestrings;UnitLangResources_StrNoData;;;"No data";"Pas de données";"Geen data";;"Nessun dato";"No hay datos";没有数据;"Não há dados";"Keine Daten";
resourcestrings;UnitLangResources_StrNoFilesSelected;;;"No files selected.";"Aucun fichier sélectionné.";"Geen bestanden geselecteerd.";;"Nessun file selezionato.";"No hay archivos seleccionados.";未选择任何文件。;"Nenhum arquivo selecionado.";"Keine Dateien ausgewählt.";
resourcestrings;UnitLangResources_StrNoMoreMatchesFo;;;"No (more) matches found.";"Pas (plus) de correspondance trouvée.";"Niet (meer) overeenkomsten gevonden.";;"Non sono state trovate (altre) corrispondenze.";"No se han encontrado (más) coincidencias.";未找到（更多）匹配项。;"Não foram encontradas (mais) correspondências.";"Keine (mehr) Übereinstimmungen gefunden.";
resourcestrings;UnitLangResources_StrNotInstalled;;;"(Not installed)";"(Non installé)";"(Niet geïnstalleerd)";;"(Non installato)";"(No instalado)";（未安装）;"(Não instalado)";"(Nicht installiert)";
resourcestrings;UnitLangResources_StrNotOK;;;"Not OK";"Pas OK";"Niet OK";;"Non OK";"No OK";不可以;"Não está OK";"Nicht OK";
resourcestrings;UnitLangResources_StrNoValidLatLon;;;"No valid Lat Lon coordinates selected.";"Aucune coordonnée Lat Lon valide n'a été sélectionnée.";"Geen geldige Lat Lon coördinaten geselecteerd.";;"Non sono state selezionate coordinate Lat Lon valide.";"No se han seleccionado coordenadas Lat Lon válidas.";未选择有效的经纬度坐标。;"Não há coordenadas Lat Lon válidas selecionadas.";"Keine gültigen Lat-Lon-Koordinaten ausgewählt.";
resourcestrings;UnitLangResources_StrNrOfPhotos;;;"Nr of photos";"Nbre de photos";"Aantal foto's";;"Numero di foto";"Número de fotos";照片数量;"Número de fotos";"Anzahl der Fotos";
resourcestrings;UnitLangResources_StrOKToProceed;;;"OK to proceed?";"OK pour continuer ?";"Akkoord om door te gaan?";;"È possibile procedere?";"¿Puede continuar?";确定可以继续吗？;"Tudo bem para continuar?";"OK, um fortzufahren?";
resourcestrings;UnitLangResources_StrOpenWith;;;"Open with ";"Ouvrir avec ";"Openen met ";;"Aprire con ";"Abrir con ";"打开使用 ";"Abrir com ";"Öffnen mit ";
resourcestrings;UnitLangResources_StrOverwriteExistingS;;;"Overwrite Existing setting %s?";"Écraser les paramètres existants %s ?";"Overschijf bestaande instelling %s?";;"Sovrascrivere l'impostazione esistente %s?";"¿Sobrescribir ajuste existente %s?";覆盖现有设置？;"Substituir a configuração existente %s?";"Vorhandene Einstellung %s überschreiben?";
resourcestrings;UnitLangResources_StrOverwriteSFailed;;;"Overwrite %s failed.";"L'écrasement de %s a échoué.";"Overschrijven %s misliukt.";;"Sovrascrittura %s non riuscita.";"Error al sobrescribir %s.";"覆盖 %s 失败。";"Falha ao substituir %s.";"Überschreiben von %s fehlgeschlagen.";
resourcestrings;UnitLangResources_StrPredefinedTags;;;"Predefined tags (Marked, Remove/Copy Metadata)";"Balises prédéfinies (Marquer, Supprimer/Copier les métadonnées)";"Vooraf gedefinieerde tags (Gemarkeerd, Metagegevens verwijderen/kopiëren)";;"Tag predefiniti (Contrassegnati, Rimuovi/Copia metadati)";"Etiquetas predefinidas (Marcado, Eliminar/Copiar metadatos)";预定义标签（标记、删除/复制元数据）;"Tags predefinidas (Marcado, Remover/Copiar Metadados)";"Vordefinierte Tags (Markieren, Entfernen/Kopieren von Metadaten)";
resourcestrings;UnitLangResources_StrRemainingThumbnails;;;"Remaining Thumbnails to generate: %d";"Vignettes restantes à générer : %d";"Nog %d Miniaturen te genereren.";;"Miniature rimanenti da generare: %d";"Miniaturas restantes por generar: %d";剩余要生成的缩略图：%d;"Miniaturas restantes para gerar: %d";"Verbleibende zu generierende Miniaturansichten: %d";
resourcestrings;UnitLangResources_StrRemDirectoryFail;;;"Remove directory failed code %u";"La suppression du répertoire a échoué code %u";"Verwijderen map mislukt code %u";;"Rimozione directory fallita codice %u";"Eliminar directorio código %u fallido";"删除目录失败代码 %u";"Falha na remoção do diretório: código %u";"Fehlercode beim Entfernen des Verzeichnisses %u";
